날짜,15:30 종가,02:00 종가
2025-06-09,1356.4,1354.2
2025-06-10,1364.3,1368.0
2025-06-11,1375.0,1370.9
2025-06-12,1358.7,1357.1
2025-06-13,1369.6,1363.5
2025-06-16,1363.8,1358.1
2025-06-17,1362.7,1374.0
2025-06-18,1369.4,1372.3
2025-06-19,1380.2,1379.8
2025-06-20,1365.6,1374.0
2025-06-23,1384.3,1382.0
2025-06-24,1360.2,1361.4
2025-06-25,1362.4,1361.2
2025-06-26,1356.9,1352.9
2025-06-27,1357.4,1361.3
2025-06-30,1350.0,1355.3
2025-07-01,1355.9,1359.0
2025-07-02,1358.7,1355.5
2025-07-03,1359.4,1365.5
2025-07-04,1362.3,1362.5
2025-07-07,1367.8,1377.0
2025-07-08,1367.9,1373.2
2025-07-09,1375.0,1375.2
2025-07-10,1370.0,1373.9
2025-07-11,1375.4,1375.8
2025-07-14,1381.2,1383.0
2025-07-15,1380.2,1388.2
2025-07-16,1385.7,1387.0
2025-07-17,1392.6,1392.2
2025-07-18,1393.0,1391.6
2025-07-21,1388.2,1382.2
2025-07-22,1387.8,1381.0
2025-07-23,1379.8,1375.8
2025-07-24,1367.2,1371.3
2025-07-25,1377.9,1383.7
2025-07-28,1382.0,1389.1
2025-07-29,1391.0,1389.7
2025-07-30,1383.1,1391.8
2025-07-31,1387.0,1392.0
2025-08-01,1401.4,1388.3
2025-08-04,1385.2,1386.5
2025-08-05,1388.3,1386.3
2025-08-06,1389.5,1386.4
2025-08-07,1381.2,1386.0
2025-08-08,1389.6,1387.5
2025-08-11,1388.0,1390.5
2025-08-12,1389.9,1384.4
2025-08-13,1381.7,1379.4
2025-08-14,1382.0,1389.5
2025-08-18,1385.0,1388.1
2025-08-19,1390.9,1392.0
2025-08-20,1398.4,1397.0
2025-08-21,1398.4,1398.8
2025-08-22,1393.2,1383.5
2025-08-25,1384.7,1390.3
2025-08-26,1395.8,1393.2
2025-08-27,1396.3,1394.2
2025-08-28,1387.6,1384.8
2025-08-29,1390.1,1389.8
2025-09-01,1393.7,1394.0
2025-09-02,1391.0,1395.9
2025-09-03,1392.3,1389.7
2025-09-04,1392.5,1395.3
2025-09-05,1391.0,1388.4
2025-09-08,1390.6,1387.0
2025-09-09,1387.9,1387.8
2025-09-10,1386.6,1388.5
2025-09-11,1391.8,1390.7
2025-09-12,1388.2,1395.4
2025-09-15,1389.0,1386.6
2025-09-16,1378.9,1379.5
2025-09-17,1380.1,1376.3
2025-09-18,1387.8,1389.0
2025-09-19,1393.6,1397.0
2025-09-22,1392.6,1391.5
2025-09-23,1392.6,1394.0
2025-09-24,1397.5,1403.8
2025-09-25,1400.6,1409.3
2025-09-26,1412.4,1409.7
2025-09-29,1398.7,1400.4
2025-09-30,1402.9,1405.0
2025-10-01,1403.2,1403.0
2025-10-02,1400.0,1407.0
2025-10-10,1421.0,1427.0
2025-10-13,1425.8,1424.5
2025-10-14,1431.0,1428.1
2025-10-15,1421.3,1422.6
2025-10-16,1417.9,1417.9
2025-10-17,1421.2,1422.2
2025-10-20,1419.2,1420.8
2025-10-21,1427.8,1432.0
2025-10-22,1429.8,1431.0
2025-10-23,1439.6,1437.4
2025-10-24,1437.1,1439.4
2025-10-27,1431.7,1433.4
2025-10-28,1437.7,1432.7
2025-10-29,1431.7,1421.0
2025-10-30,1426.5,1435.0
2025-10-31,1424.4,1433.0
2025-11-03,1428.8,1431.3
2025-11-04,1437.9,1440.6
2025-11-05,1449.4,1441.8
2025-11-06,1447.7,1449.3
2025-11-07,1456.9,1461.5
2025-11-10,1451.4,1456.8
2025-11-11,1463.3,1463.4
2025-11-12,1465.7,1468.9
2025-11-13,1467.7,1466.0
2025-11-14,1457.0,1453.1
2025-11-17,1458.0,1460.4
2025-11-18,1465.3,1461.9
2025-11-19,1465.6,1468.5
2025-11-20,1467.9,1472.2
2025-11-21,1475.6,1471.5
2025-11-24,1477.1,1476.5
2025-11-25,1472.4,1469.3
2025-11-26,1465.6,1468.3
2025-11-27,1464.9,1462.7
2025-11-28,1470.6,1466.8
2025-12-01,1469.9,1468.0
2025-12-02,1468.4,1469.4
2025-12-03,1468.0,1466.9
2025-12-04,1473.5,1473.6
2025-12-05,1468.8,1473.3
2025-12-08,1466.9,1469.8
2025-12-09,1472.3,1469.9
2025-12-10,1470.4,1470.8
2025-12-11,1473.0,1471.9
2025-12-12,1473.7,1477.0
2025-12-15,1471.0,1468.6
2025-12-16,1477.0,1473.0
2025-12-17,1479.8,1474.5
2025-12-18,1478.3,1473.1
2025-12-19,1476.3,1478.0
2025-12-22,1480.1,1481.0
2025-12-23,1483.6,1481.0
2025-12-24,1449.8,1445.7
2025-12-26,1440.3,1442.2
2025-12-29,1429.8,1434.1
2025-12-30,1439.0,1439.5
2026-01-02,1441.8,1444.7
2026-01-05,1443.8,1445.6
2026-01-06,1445.4,1447.1
2026-01-07,1445.8,1447.6
2026-01-08,1450.6,1451.8
2026-01-09,1457.6,1459.0
2026-01-12,1468.4,1468.8
2026-01-13,1473.7,1478.8
2026-01-14,1477.5,1464.0
2026-01-15,1469.7,1469.2
2026-01-16,1473.6,1474.5
2026-01-19,1473.7,1473.1
2026-01-20,1478.1,1476.7
2026-01-21,1471.3,1465.9
2026-01-22,1469.9,1464.5
2026-01-23,1465.8,1462.5
2026-01-26,1440.6,1443.9
2026-01-27,1446.2,1437.5
2026-01-28,1422.5,1436.1
2026-01-29,1426.3,1434.0
2026-01-30,1439.5,1443.5
2026-02-02,1464.3,1451.5
2026-02-03,1445.4,1446.6
2026-02-04,1450.2,1459.5
2026-02-05,1469.0,1463.7
2026-02-06,1469.5,1463.0
2026-02-09,1460.3,1457.7
2026-02-10,1459.1,1457.2
2026-02-11,1450.1,1447.0
2026-02-12,1440.2,1438.6
2026-02-13,1444.9,1444.6
2026-02-19,1445.5,1448.9
2026-02-20,1446.6,1446.6
2026-02-23,1440.0,1442.9
2026-02-24,1442.5,1441.0
2026-02-25,1429.4,1427.8
2026-02-26,1425.8,1433.5
2026-02-27,1439.7,1440.0
2026-03-03,1466.1,1485.7
2026-03-04,1476.2,1462.9
2026-03-05,1468.1,1482.2
2026-03-06,1476.4,1481.6
2026-03-09,1495.5,1473.7
2026-03-10,1469.2,1465.7
2026-03-11,1466.5,1477.0
2026-03-12,1481.2,1488.5
2026-03-13,1493.7,1497.5
2026-03-16,1497.5,1491.9
2026-03-17,1493.6,1488.4
2026-03-18,1483.1,1500.7
2026-03-19,1501.0,1495.0
2026-03-20,1500.6,1504.7
2026-03-23,1517.3,1486.7
2026-03-24,1495.2,1499.9
2026-03-25,1499.7,1501.7
2026-03-26,1507.0,1508.0
2026-03-27,1508.9,1511.4
2026-03-30,1515.7,1518.2
2026-03-31,1530.1,1517.0
2026-04-01,1501.3,1513.3
2026-04-02,1519.7,1510.6
2026-04-03,1505.2,1511.4
2026-04-06,1506.3,1509.8
2026-04-07,1504.2,1501.0
2026-04-08,1470.6,1479.2
2026-04-09,1482.5,1474.7
2026-04-10,1482.5,1483.5
2026-04-13,1489.3,1482.7
2026-04-14,1481.2,1472.7
2026-04-15,1474.2,1475.5
2026-04-16,1474.6,1479.2
2026-04-17,1483.5,1460.0
2026-04-20,1477.2,1472.8
2026-04-21,1468.5,1480.8
2026-04-22,1476.0,1480.3
2026-04-23,1481.0,1479.2
2026-04-24,1484.5,1476.8
2026-04-27,1472.5,1473.6
2026-04-28,1473.6,1473.2
2026-04-29,1479.0,1488.5
2026-04-30,1483.3,1477.5
2026-05-04,1462.8,1478.4
2026-05-06,1455.1,1449.4
2026-05-07,1454.0,1456.0
2026-05-08,1471.7,1462.3
2026-05-11,1472.4,1472.7
2026-05-12,1489.9,1490.9
2026-05-13,1490.6,1489.3
2026-05-14,1491.0,1493.4
2026-05-15,1500.8,1497.5
2026-05-18,1500.3,1492.9
2026-05-19,1507.8,1508.7
2026-05-20,1506.8,1496.7
2026-05-21,1506.1,1508.0
2026-05-22,1517.2,1517.6
2026-05-26,1504.3,1507.2
2026-05-27,1501.2,1500.2
2026-05-28,1502.8,1494.7
2026-05-29,1507.9,1504.8
2026-06-01,1504.3,1512.9
2026-06-02,1516.4,1519.0
2026-06-04,1529.7,1532.0
2026-06-05,1539.1,1559.0
2026-06-08,1535.0,1526.5
2026-06-09,1512.1,1532.7
2026-06-10,1524.2,1520.2
2026-06-11,1528.9,1531.6
2026-06-12,1519.8,1518.3
2026-06-15,1511.1,1515.2
2026-06-16,1511.6,1508.3
2026-06-17,1513.4,1515.5
2026-06-18,1527.1,1540.0
2026-06-19,1527.0,1531.0
2026-06-22,1537.0,1538.9
2026-06-23,1539.1,1533.1
2026-06-24,1541.8,1542.7
2026-06-25,1542.7,1543.1
2026-06-26,1532.0,1535.8
2026-06-29,1545.2,1543.0
2026-06-30,1549.4,1549.5
2026-07-01,1554.9,1551.2
2026-07-02,1555.8,1540.0
2026-07-03,1525.6,1530.0
2026-07-06,1530.3,1530.0
2026-07-07,1528.2,1515.8
2026-07-08,1498.5,1505.0
2026-07-09,1506.1,1505.0
